sample_id,sample_date,no3_n,k,mg,ca,nh4_n
Q1,1989-04-11,143,0.84,2.38,4.29,NA
Q1,1989-04-18,114,0.78,2.79,4.92,NA
Q1,1989-04-25,147,0.88,2.74,4.92,NA
Q1,1989-05-02,135,0.91,2.8,4.96,NA
Q1,1989-05-09,148,0.99,2.61,4.62,NA
Q1,1989-05-16,149,0.89,2.87,4.75,NA
Q1,1989-05-23,142,0.86,2.89,4.81,NA
Q1,1989-05-30,144,0.88,2.96,4.74,NA
Q1,1989-06-06,134,1.4,4.97,5.22,NA
Q1,1989-06-13,129,0.82,2.06,4.83,NA
Q1,1989-06-20,141,0.81,3.08,4.3,NA
Q1,1989-06-27,161,0.83,3.15,4.53,NA
Q1,1989-07-05,10,0.89,1.26,2.4,NA
Q1,1989-07-11,123,1.02,2.95,5.05,NA
Q1,1989-07-18,NA,1.02,2.79,4.93,NA
Q1,1989-07-26,119,0.95,2.6,4.41,NA
Q1,1989-08-01,134,0.92,2.77,4.3,NA
Q1,1989-08-08,91,0.99,2.99,4.61,NA
Q1,1989-08-15,95,0.98,3.09,4.47,NA
Q1,1989-08-22,200,0.9,1.33,1.22,NA
Q1,1989-08-29,36,0.9,2.66,4.52,NA
Q1,1989-09-05,22,0.87,2.96,4.75,NA
Q1,1989-09-12,NA,0.91,2.94,4.22,NA
Q1,1989-09-20,NA,NA,NA,NA,NA
Q1,1989-09-22,10,0.99,2.48,3.88,NA
Q1,1989-09-26,NA,1.27,2.63,3.93,NA
Q1,1989-09-26,NA,1.22,2.57,3.9,NA
Q1,1989-10-03,NA,0.98,2.83,4.24,NA
Q1,1989-10-05,NA,1.26,NA,NA,NA
Q1,1989-10-10,89,0.91,2.87,4.31,NA
Q1,1989-10-17,NA,1.04,2.92,4.42,NA
Q1,1989-10-24,251,1.19,2.95,4.48,NA
Q1,1989-10-31,338,1.23,3.97,4.14,NA
Q1,1989-11-07,420,1.66,3.13,4.25,NA
Q1,1989-11-08,1365,2.63,3.1,4.24,NA
Q1,1989-11-14,291,1.33,3.13,4.31,NA
Q1,1989-11-21,156,1.13,3.07,4.3,NA
Q1,1989-11-28,185,0.93,3.19,5.52,NA
Q1,1989-12-05,147,0.82,3.19,5.69,NA
Q1,1989-12-12,164,0.83,3.29,5.91,NA
Q1,1989-12-19,148,0.8,3.24,6.04,NA
Q1,1989-12-26,27,0.96,3.06,6.78,NA
Q1,1990-01-02,NA,2.98,3.19,5.15,NA
Q1,1990-01-09,38,0.95,3.28,5.9,NA
Q1,1990-01-16,73,1,3.37,6.13,NA
Q1,1990-01-23,10,1.05,3.23,5.59,NA
Q1,1990-01-30,17,1.02,3.27,6.01,NA
Q1,1990-02-06,156,0.97,3.22,6.02,NA
Q1,1990-02-13,212,1.08,3.49,6.01,NA
Q1,1990-02-20,267,1.21,3.4,5.85,NA
Q1,1990-02-27,171,1.16,3.46,5.97,NA
Q1,1990-03-06,119,0.94,3.48,6.09,NA
Q1,1990-03-13,NA,2.25,1.82,3.05,NA
Q1,1990-03-20,490,1.29,3.25,5.58,NA
Q1,1990-03-27,259,1.19,3.11,5.34,NA
Q1,1990-04-03,NA,1.03,3.26,5.54,NA
Q1,1990-04-10,8,0.95,3.39,5.85,NA
Q1,1990-04-17,42,0.94,3.29,5.81,NA
Q1,1990-04-24,53,0.97,3.35,5.96,NA
Q1,1990-04-25,999,1.71,0.49,0.66,NA
Q1,1990-04-25,1468,2.1,0.65,0.88,NA
Q1,1990-04-25,1413,2.3,0.59,0.83,NA
Q1,1990-04-26,243,1.49,2.72,4.23,NA
Q1,1990-05-01,193,1.09,3.38,5.97,NA
Q1,1990-05-08,189,1.15,3.24,5.48,NA
Q1,1990-05-10,737,1.83,1.53,2.51,NA
Q1,1990-05-15,204,1.14,3.15,5.42,NA
Q1,1990-05-22,163,1.14,3.36,5.84,NA
Q1,1990-05-29,142,1.24,3.29,5.4,NA
Q1,1990-06-05,10,1.16,3.08,5.25,NA
Q1,1990-06-12,154,1.19,3.21,5.75,NA
Q1,1990-06-19,170,1.24,3.44,5.56,NA
Q1,1990-06-26,203,1.29,3.09,5.07,NA
Q1,1990-07-03,109,1,3.71,6.39,NA
Q1,1990-07-10,119,1.03,3.49,5.94,NA
Q1,1990-07-17,77,0.93,3.54,6.18,NA
Q1,1990-07-24,445,1.7,1.92,3.13,NA
Q1,1990-07-31,7,0.86,3.62,6.18,NA
Q1,1990-08-07,49,0.89,3.65,6.38,NA
Q1,1990-08-14,250,1.29,2.96,4.75,NA
Q1,1990-08-21,90,0.86,3.44,6.13,NA
Q1,1990-08-28,10,0.78,3.51,6.04,NA
Q1,1990-09-04,10,0.78,3.15,6.06,NA
Q1,1990-09-11,NA,0.76,3.47,6.13,NA
Q1,1990-09-18,NA,0.79,3.36,5.88,NA
Q1,1990-09-25,NA,0.81,3.33,6.21,NA
Q1,1990-10-02,76,1,2.55,4.99,NA
Q1,1990-10-09,48,0.98,3.08,5.65,NA
Q1,1990-10-16,9,0.87,3.49,5.55,NA
Q1,1990-10-23,67,0.95,3.16,5.19,NA
Q1,1990-10-30,130,1.19,1.6,2.64,NA
Q1,1990-11-06,257,1.04,2.94,4.63,NA
Q1,1990-11-13,113,0.97,3.27,5.05,NA
Q1,1990-11-20,75,0.85,3.32,5.03,NA
Q1,1990-11-27,142,0.95,3,4.7,NA
Q1,1990-12-04,236,1.31,1.57,2.65,NA
Q1,1990-12-04,8,0.96,2.89,4.94,NA
Q1,1990-12-11,7,0.78,3.25,5.69,NA
Q1,1990-12-14,300,2.14,1.65,2.87,NA
Q1,1990-12-18,87,0.69,3.24,5.64,NA
Q1,1990-12-25,121,0.86,3.25,5.65,NA
Q1,1990-12-31,233,1.23,2.37,3.96,NA
Q1,1991-01-08,131,1.07,2.8,4.89,NA
Q1,1991-01-15,NA,0.79,3.65,6.78,NA
Q1,1991-01-22,176,0.67,3.36,5.91,NA
Q1,1991-01-29,188,0.77,3.3,6.18,NA
Q1,1991-02-05,NA,0.83,3.01,5.4,NA
Q1,1991-02-12,28,0.8,3.57,6.39,NA
Q1,1991-02-19,13,1.12,2.41,4.27,NA
Q1,1991-02-26,89,0.86,3.36,5.37,NA
Q1,1991-03-05,74,0.7,3.25,5.96,NA
Q1,1991-03-12,47,0.79,3.1,5.8,NA
